                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86641,                 2.1473,                 1.3356,                0.23346,                0.44135,                0.24314,                0.17051,                 1.0384,                  1.672,                 1.2675,              0.0033314,              0.0033314,              0.0033314
                      2,                0.76513,                 1.6846,                 1.2217,                0.28357,                0.47181,                0.28754,                0.18563,                 1.0755,                 1.6638,                 1.3467,              0.0065327,              0.0065327,              0.0065327
                      3,                0.80119,                   1.71,                 1.2442,                0.20904,                0.47405,                0.23564,                0.15269,                 1.0736,                 1.7837,                 1.3095,              0.0096021,              0.0096021,              0.0096021
                      4,                0.80232,                 1.7049,                 1.2454,                0.38727,                 0.4453,                0.30389,                0.21185,                0.99969,                 1.6782,                 1.2444,               0.009406,               0.009406,               0.009406
                      5,                0.76346,                 1.6486,                 1.2196,                0.32143,                0.49286,                0.35274,                0.24519,                0.99121,                 1.5667,                 1.2341,               0.009406,               0.009406,               0.009406
                      6,                0.73696,                 1.6013,                 1.2004,                0.33974,                0.45859,                0.36365,                0.26644,                0.93208,                  1.537,                 1.1473,               0.009208,               0.009208,               0.009208
                      7,                0.71782,                 1.5669,                 1.1879,                0.34803,                0.49205,                0.37925,                0.28233,                0.90469,                 1.4841,                 1.1299,                0.00901,                0.00901,                0.00901
                      8,                0.70761,                 1.5417,                 1.1813,                0.35497,                0.50376,                  0.393,                0.29287,                0.91011,                 1.4519,                 1.1294,               0.008812,               0.008812,               0.008812
                      9,                0.69404,                 1.5155,                 1.1735,                0.40109,                0.47091,                0.40436,                0.31579,                 0.8963,                  1.429,                 1.1093,               0.008614,               0.008614,               0.008614
                     10,                0.68761,                 1.4858,                 1.1667,                0.40439,                0.50163,                0.42596,                0.32131,                0.88878,                 1.3866,                 1.1097,               0.008416,               0.008416,               0.008416
                     11,                0.68485,                 1.4767,                 1.1639,                0.41561,                0.49913,                0.42834,                0.32718,                0.85998,                 1.3755,                 1.0588,               0.008218,               0.008218,               0.008218
                     12,                0.67281,                 1.4609,                 1.1549,                0.42318,                0.49699,                0.44299,                0.34502,                0.85534,                 1.3505,                 1.0541,                0.00802,                0.00802,                0.00802
                     13,                0.67158,                 1.4475,                 1.1543,                0.44021,                0.51729,                0.45604,                0.35549,                0.85137,                 1.3133,                 1.0595,               0.007822,               0.007822,               0.007822
                     14,                0.66648,                 1.4299,                  1.152,                0.43755,                0.52274,                0.46099,                 0.3574,                0.85196,                  1.314,                 1.0595,               0.007624,               0.007624,               0.007624
                     15,                0.66118,                 1.4207,                 1.1464,                0.44515,                0.53203,                0.47155,                0.36743,                0.84367,                 1.2976,                 1.0494,               0.007426,               0.007426,               0.007426
                     16,                 0.6499,                 1.4062,                 1.1421,                 0.4824,                0.50271,                0.48456,                0.37935,                0.83478,                 1.2891,                 1.0315,               0.007228,               0.007228,               0.007228
                     17,                0.64997,                 1.4004,                 1.1402,                 0.4736,                0.51393,                  0.485,                0.37806,                0.83508,                  1.283,                 1.0329,                0.00703,                0.00703,                0.00703
                     18,                0.64973,                  1.392,                 1.1393,                0.50052,                0.51254,                0.50312,                0.39291,                0.83306,                 1.2629,                 1.0391,               0.006832,               0.006832,               0.006832
                     19,                0.64701,                 1.3797,                 1.1373,                0.50518,                0.52208,                0.51744,                0.40531,                0.83267,                 1.2538,                 1.0315,               0.006634,               0.006634,               0.006634
                     20,                0.64087,                 1.3601,                 1.1316,                0.52172,                0.51435,                0.52462,                0.41171,                0.82997,                 1.2229,                  1.028,               0.006436,               0.006436,               0.006436
                     21,                0.64319,                 1.3533,                  1.131,                0.53643,                0.52048,                0.53372,                0.41733,                0.83172,                 1.2173,                 1.0235,               0.006238,               0.006238,               0.006238
                     22,                0.63812,                 1.3445,                  1.129,                0.56732,                0.51482,                0.54271,                0.42836,                0.82727,                 1.2035,                 1.0298,                0.00604,                0.00604,                0.00604
                     23,                 0.6317,                 1.3316,                 1.1257,                0.55283,                0.52692,                0.54711,                0.42791,                0.82805,                  1.197,                 1.0236,               0.005842,               0.005842,               0.005842
                     24,                0.62822,                  1.323,                  1.123,                0.55795,                0.53966,                0.55477,                0.43696,                0.82306,                 1.1822,                 1.0188,               0.005644,               0.005644,               0.005644
                     25,                0.62479,                 1.3103,                 1.1198,                0.56255,                0.54442,                0.56111,                0.44246,                0.82353,                 1.1701,                 1.0194,               0.005446,               0.005446,               0.005446
                     26,                0.62186,                 1.2974,                 1.1198,                0.56947,                0.54022,                0.56674,                0.44596,                0.82398,                 1.1601,                 1.0179,               0.005248,               0.005248,               0.005248
                     27,                0.62314,                 1.2924,                 1.1212,                0.58457,                 0.5381,                0.57293,                0.45363,                0.82115,                 1.1486,                 1.0173,                0.00505,                0.00505,                0.00505
                     28,                0.61919,                 1.2878,                 1.1177,                0.58588,                0.54406,                0.57689,                0.45809,                0.82371,                 1.1416,                 1.0203,               0.004852,               0.004852,               0.004852
                     29,                0.61462,                 1.2701,                  1.114,                0.57887,                0.55626,                0.58025,                0.46279,                0.82102,                 1.1308,                  1.016,               0.004654,               0.004654,               0.004654
                     30,                0.61416,                 1.2667,                 1.1148,                0.58178,                0.55063,                0.58309,                0.46623,                0.81515,                 1.1206,                 1.0084,               0.004456,               0.004456,               0.004456
                     31,                0.61034,                 1.2484,                 1.1077,                0.57409,                0.56302,                0.58681,                0.46794,                0.81415,                 1.1142,                 1.0076,               0.004258,               0.004258,               0.004258
                     32,                0.60439,                 1.2377,                 1.1043,                0.57959,                0.55915,                0.58789,                0.46927,                0.81411,                 1.1127,                 1.0088,                0.00406,                0.00406,                0.00406
                     33,                0.60888,                 1.2322,                 1.1097,                0.57806,                0.56614,                0.58965,                0.47117,                0.81319,                 1.1095,                 1.0077,               0.003862,               0.003862,               0.003862
                     34,                0.60115,                 1.2226,                 1.1042,                0.58453,                0.56685,                0.59279,                0.47396,                0.81307,                 1.1067,                 1.0064,               0.003664,               0.003664,               0.003664
                     35,                0.59704,                 1.2111,                 1.1027,                0.57692,                0.57252,                0.59477,                0.47554,                0.81118,                 1.1041,                 1.0049,               0.003466,               0.003466,               0.003466
                     36,                0.59363,                 1.2067,                 1.0969,                0.57471,                0.57845,                0.59614,                 0.4772,                0.81003,                  1.103,                 1.0037,               0.003268,               0.003268,               0.003268
                     37,                 0.5912,                 1.1939,                  1.098,                 0.5788,                0.57473,                0.59888,                0.47982,                0.81024,                 1.1011,                 1.0042,                0.00307,                0.00307,                0.00307
                     38,                0.59037,                 1.1859,                 1.0963,                0.58619,                0.57073,                0.59914,                0.48106,                0.81015,                 1.1001,                 1.0038,               0.002872,               0.002872,               0.002872
                     39,                0.58569,                 1.1751,                 1.0926,                 0.5907,                0.56779,                0.60104,                0.48207,                0.81093,                 1.0996,                 1.0041,               0.002674,               0.002674,               0.002674
                     40,                0.58114,                 1.1639,                 1.0908,                0.59811,                0.56183,                0.60293,                 0.4844,                0.81109,                 1.0978,                 1.0042,               0.002476,               0.002476,               0.002476
